template,count
H704_2150_230_GP_pe22,195
H704_1225_310_REN_pe09,21
H704_1225_310_REN_pe05,36
H704_2150_230_GP_pe17,226
CR18d7_6_BACH2_1,48
IRF3_17014_wk7_env_p,1360
H704_2150_230_GP_pe15,16
H704_2150_230_GP_pe19,151
CR18d7_6_BACH2_4,51
H704_2150_230_GP_pe05,126
H704_2150_230_GP_pe03,144
H704_2150_230_GP_pe12,95
H704_1225_310_REN_pe14,18
H704_2150_230_GP_pe16,66
H704_2150_230_GP_pe08,226
IRF3_17022_wk7_gag_p,5983
CR18d7_6_BACH2_2,45
H704_1225_310_REN_pe08,47
H704_1225_310_REN_pe13,108
H704_2150_230_GP_pe01,120
IRF3_17032_wk7_env_p,4696
H704_1225_310_REN_pe10,26
H704_1225_310_REN_pe01,49
H704_1225_310_REN_pe03,42
H704_1225_310_REN_pe18,94
IRF3_17027_wk7_env_p,2393
H704_1225_310_REN_pe07,25
H704_1225_310_REN_pe12,47
H704_1225_310_REN_pe17,63
CR18d7_6_BACH2_3,42
H704_2150_230_GP_pe25,133
H704_2150_230_GP_pe02,140
H704_2150_230_GP_pe06,137
IRF3_17016_wk7_gag_p,5434
IRF3_17043_wk7_gag_p,2738
IRF3_17014_wk7_gag_p,1956
H704_1225_310_REN_pe11,40
H704_2150_230_GP_pe09,123
IRF3_17016_wk7_env_p,3025
H704_2150_230_GP_pe04,175
H704_1225_310_REN_pe16,38
H704_2150_230_GP_pe27,211
H704_2150_230_GP_pe07,142
IRF3_17030_wk7_gag_p,6375
H704_1225_310_REN_pe15,76
IRF3_17032_wk7_gag_p,6989
IRF3_17022_wk7_env_p,3120
IRF3_17030_wk7_env_p,2981
IRF3_17027_wk7_gag_p,3618
H704_2150_230_GP_pe10,60
CR18d7_6_BACH2_2_1ul,73
H704_1225_310_REN_pe02,0
IRF3_17037_wk7_gag_p,2753
H704_1225_310_REN_pe04,58
H704_2150_230_GP_pe11,60
H704_2150_230_GP_pe24,119
IRF3_17043_wk7_env_p,2168
IRF3_17037_wk7_env_p,1904
H704_2150_230_GP_pe26,160
H704_1225_310_REN_pe06,84
IRF3_17026_wk7_env_p,1788
H704_2150_230_GP_pe31,168
H704_2150_230_GP_pe14,165
IRF3_17026_wk7_gag_p,6546
H704_2150_230_GP_pe30,213
CR18d7_6_BACH2_1_1ul,54
